"module","EV"
"S1",0.04800188918151
"S2",0.0291738076869335
"S3",0.0828445870370665
"S4",0.0331660750957997
"S5",0.0500725717163805
"S6",0.067475134385804
"S7",0.0636343864508085
"S8",0.0384419009029793
"S9",0.0838518398278828
"S10",0.0646163568062975
"S11",0.0281571355598966
"S12",0.0590060545626954
"S13",0.0768518874133791
"S14",0.0578501749005431
"S15",0.0346913937061761
"S16",0.036132859744198
"S17",0.0572994023395478
