".model","date","value","real.value"
"combined",2015 W04,N(0.11, 0.0021),NA
"combined",2015 W05,N(0.042, 0.0027),NA
"combined",2015 W06,N(-0.019, 0.0031),NA
"combined",2015 W07,N(-0.1, 0.0035),NA
"combined",2015 W08,N(0.039, 0.0025),NA
"combined",2015 W09,N(0.028, 0.0027),NA
"combined",2015 W10,N(0.041, 0.0031),NA
"combined",2015 W11,N(0.088, 0.0026),NA
"combined",2015 W12,N(0.1, 0.0026),NA
"combined",2015 W13,N(0.27, 0.0029),NA
"combined",2015 W14,N(0.15, 0.003),NA
"combined",2015 W15,N(0.19, 0.0026),NA
"combined",2015 W16,N(0.17, 0.0022),NA
"combined",2015 W17,N(0.27, 0.0028),NA
"combined",2015 W18,N(0.12, 0.0026),NA
"combined",2015 W19,N(0.097, 0.0034),NA
"combined",2015 W20,N(-0.028, 0.0026),NA
"combined",2015 W21,N(-0.12, 0.003),NA
"combined",2015 W22,N(-0.086, 0.0037),NA
"combined",2015 W23,N(-0.093, 0.0028),0.00535298540948897
"combined",2015 W24,N(-0.097, 0.0028),0.0105134187089903
"combined",2015 W25,N(-0.05, 0.0029),-0.00411691974656609
"combined",2015 W26,N(0.038, 0.0035),0.00303155143734157
"combined",2015 W27,N(0.077, 0.0026),NA
"combined",2015 W28,N(0.16, 0.0033),NA
"combined",2015 W29,N(0.18, 0.0034),NA
"combined",2015 W30,N(0.25, 0.0031),NA
"combined",2015 W31,N(0.3, 0.0037),NA
"combined",2015 W32,N(0.26, 0.0023),NA
"combined",2015 W33,N(0.26, 0.0035),NA
"combined",2015 W34,N(0.21, 0.0027),NA
"combined",2015 W35,N(0.14, 0.0033),NA
"combined",2015 W36,N(0.069, 0.0025),NA
"combined",2015 W37,N(0.057, 0.0032),NA
"combined",2015 W38,N(0.0045, 0.0026),NA
"combined",2015 W39,N(0.054, 0.0023),NA
"combined",2015 W40,N(0.065, 0.0026),NA
"combined",2015 W41,N(0.14, 0.0029),NA
"combined",2015 W42,N(0.23, 0.0024),NA
"combined",2015 W43,N(0.22, 0.0022),NA
"combined",2015 W44,N(0.26, 0.0028),NA
"combined",2015 W45,N(0.24, 0.0031),NA
"combined",2015 W46,N(0.29, 0.0033),NA
"combined",2015 W47,N(0.24, 0.0025),NA
"combined",2015 W48,N(0.15, 0.0026),NA
"combined",2015 W49,N(0.098, 0.0033),NA
"combined",2015 W50,N(0.081, 0.0035),NA
"combined",2015 W51,N(0.11, 0.0027),NA
"combined",2015 W52,N(0.012, 0.0028),NA
"combined",2015 W53,N(-0.09, 0.0026),NA
"combined",2016 W01,N(-0.17, 0.0022),NA
"combined",2016 W02,N(0.082, 0.0025),NA
"combined",2016 W03,N(0.075, 0.003),NA
"combined",2016 W04,N(0.14, 0.0026),NA
"combined",2016 W05,N(0.098, 0.0028),NA
"combined",2016 W06,N(-0.033, 0.0034),NA
"combined",2016 W07,N(-0.0074, 0.0028),NA
"combined",2016 W08,N(0.35, 0.0033),NA
"combined",2016 W09,N(0.11, 0.0032),NA
"combined",2016 W10,N(0.099, 0.0031),NA
"combined",2016 W11,N(0.15, 0.0032),NA
"combined",2016 W12,N(0.13, 0.0031),NA
"combined",2016 W13,N(-0.086, 0.0026),NA
"combined",2016 W14,N(0.11, 0.003),NA
"combined",2016 W15,N(0.21, 0.0031),NA
"combined",2016 W16,N(0.19, 0.0025),NA
"combined",2016 W17,N(0.12, 0.0028),NA
"combined",2016 W18,N(0.11, 0.0031),NA
"combined",2016 W19,N(0.061, 0.0037),NA
"combined",2016 W20,N(0.026, 0.0032),NA
"combined",2016 W21,N(-0.14, 0.0028),NA
"combined",2016 W22,N(-0.19, 0.0032),-0.00703026665521148
"combined",2016 W23,N(-0.18, 0.0026),0.00151816454186809
"combined",2016 W24,N(-0.16, 0.0028),0.000382621476029795
"combined",2016 W25,N(0.01, 0.0032),-0.00527659537582021
"combined",2016 W26,N(0.076, 0.0029),NA
"combined",2011 W12,N(0.014, 0.00094),0.0131417314092063
"combined",2011 W13,N(0.019, 0.001),0.0162108548183599
"combined",2011 W14,N(-0.019, 0.00099),-0.0581004986178258
"combined",2011 W15,N(-0.011, 0.00089),-0.109820406672653
"combined",2011 W16,N(-0.051, 0.00096),-0.073449619594999
"combined",2011 W17,N(-0.029, 0.00099),-0.0432159201904292
"combined",2011 W18,N(-0.049, 0.0012),-0.0360229239536003
"combined",2011 W19,N(-0.11, 0.0011),-0.0508662697890278
"combined",2011 W20,N(-0.092, 0.00085),-0.102912361096289
"combined",2011 W21,N(-0.15, 0.00092),-0.0720249037501215
"combined",2011 W22,N(-0.15, 9e-04),-0.122800192234138
"combined",2011 W23,N(-0.085, 0.0011),-0.0628734503422417
"combined",2011 W24,N(-0.095, 0.0012),-0.216498599335509
"combined",2011 W25,N(-0.077, 0.00079),-0.117860947796668
"combined",2011 W26,N(-0.066, 0.00084),-0.123834622707109
"combined",2011 W27,N(-0.067, 9e-04),-0.0390896037652856
"combined",2011 W28,N(-0.073, 0.001),-0.0669368675004602
"combined",2011 W29,N(-0.083, 0.00091),-0.0947841312356348
"combined",2011 W30,N(-0.13, 0.0012),-0.122631394970809
"combined",2011 W31,N(-0.18, 0.0013),-0.150478658705984
"combined",2011 W32,N(-0.2, 0.00088),-0.240482084853697
"combined",2011 W33,N(-0.23, 0.0012),-0.235243807106831
"combined",2011 W34,N(-0.21, 0.0011),-0.212584384984882
"combined",2011 W35,N(-0.19, 0.0011),-0.189924962862933
"combined",2011 W36,N(-0.17, 0.00097),-0.124032364560413
"combined",2011 W37,N(-0.13, 0.00067),-0.0777753159197709
"combined",2011 W38,N(-0.12, 0.00086),-0.0738035502080958
"combined",2011 W39,N(-0.096, 0.00081),-0.0698317844964207
"combined",2011 W40,N(-0.096, 0.0011),-0.0673155687286116
"combined",2011 W41,N(-0.084, 0.00092),-0.0722613728556481
"combined",2011 W42,N(-0.088, 0.001),-0.102724828595902
"combined",2011 W43,N(-0.073, 0.00091),-0.133188284336156
"combined",2011 W44,N(-0.055, 0.0011),-0.16365174007641
"combined",2011 W45,N(-0.022, 0.00095),0.0624914623145636
"combined",2011 W46,N(0.088, 0.00099),-0.0188668257688357
"combined",2011 W47,N(0.075, 0.0011),0.00906244247455899
"combined",2011 W48,N(0.027, 0.00098),0.0348425954060824
"combined",2011 W49,N(0.11, 0.001),0.104537420054023
"combined",2011 W50,N(0.2, 0.001),0.174232244701964
"combined",2011 W51,N(0.27, 0.00092),0.243927069349905
"combined",2011 W52,N(0.21, 0.00088),0.216906274438297
"combined",2012 W01,N(0.17, 9e-04),0.320357003384431
"combined",2012 W02,N(0.18, 0.00094),0.0886921650095758
"combined",2012 W03,N(0.22, 0.001),0.146676772472125
"combined",2012 W04,N(0.18, 0.00088),0.302134488011626
"combined",2012 W05,N(0.24, 0.00083),0.187372046248195
"combined",2012 W06,N(0.18, 0.00095),0.258221632852376
"combined",2012 W07,N(0.11, 0.00084),0.276536263182125
"combined",2012 W08,N(0.13, 0.00099),0.0937757466169769
"combined",2012 W09,N(0.041, 0.00089),0.0264067454407667
"combined",2012 W10,N(0.13, 0.001),0.116901128040676
"combined",2012 W11,N(0.062, 0.00092),0.149417039666511
"combined",2012 W12,N(0.09, 0.00097),0.0540807689540956
"combined",2012 W13,N(0.021, 0.00089),0.066859029572807
"combined",2012 W14,N(-0.061, 0.001),0.026045097635865
"combined",2012 W15,N(-0.025, 0.0011),-0.144081383120325
"combined",2012 W16,N(-0.016, 0.0012),0.0899234668971927
"combined",2012 W17,N(-3.5e-05, 0.00084),-0.00205294338356579
"combined",2012 W18,N(0.018, 0.00092),0.0959761037095283
"combined",2012 W19,N(-0.038, 0.0011),NA
"combined",2012 W20,N(-0.056, 0.00084),NA
"combined",2012 W21,N(-0.062, 0.00092),NA
"combined",2012 W22,N(-0.068, 0.00083),-0.0882727869441937
"combined",2012 W23,N(-0.072, 0.0011),-0.0819478394560161
"combined",2012 W24,N(-0.07, 0.00091),-0.00491755609574165
"combined",2012 W25,N(-0.077, 0.00089),-0.0420406218552446
"combined",2012 W26,N(-0.077, 0.0011),-0.0766334606147682
"combined",2012 W27,N(-0.087, 0.00094),NA
"combined",2012 W28,N(-0.092, 0.00095),NA
"combined",2012 W29,N(-0.087, 0.00085),NA
"combined",2012 W30,N(-0.094, 0.0011),NA
"combined",2012 W31,N(-0.15, 0.001),NA
"combined",2012 W32,N(-0.19, 0.00078),NA
"combined",2012 W33,N(-0.22, 0.0011),NA
"combined",2012 W34,N(-0.19, 0.00095),NA
"combined",2012 W35,N(-0.18, 0.00094),NA
"combined",2012 W36,N(-0.16, 0.00098),NA
"combined",2012 W37,N(-0.11, 0.00097),NA
"combined",2012 W38,N(-0.085, 0.00092),NA
"combined",2012 W39,N(-0.048, 0.001),NA
"combined",2012 W40,N(-0.036, 0.00088),NA
"combined",2012 W41,N(-0.047, 0.00087),NA
"combined",2012 W42,N(-0.041, 0.00075),NA
"combined",2012 W43,N(-0.066, 0.00097),NA
"combined",2012 W44,N(-0.021, 0.001),NA
"combined",2012 W45,N(0.01, 0.0011),NA
"combined",2012 W46,N(-0.0096, 0.00096),NA
"combined",2012 W47,N(0.026, 0.00096),NA
"combined",2012 W48,N(0.019, 0.00095),NA
"combined",2012 W49,N(0.088, 0.0012),NA
"combined",2012 W50,N(0.17, 0.00087),NA
"combined",2012 W51,N(0.19, 0.00089),NA
"combined",2012 W52,N(0.22, 0.0011),NA
"combined",2013 W01,N(0.2, 0.001),NA
"combined",2013 W02,N(0.17, 0.00089),NA
"combined",2013 W03,N(0.2, 0.001),NA
"combined",2013 W04,N(0.26, 0.00089),NA
"combined",2013 W05,N(0.2, 9e-04),NA
"combined",2013 W06,N(0.25, 0.00095),NA
"combined",2013 W07,N(0.19, 0.00094),NA
"combined",2013 W08,N(0.15, 0.00091),NA
"combined",2013 W09,N(0.14, 0.0012),NA
"combined",2013 W10,N(0.13, 0.0011),NA
"combined",2013 W11,N(0.15, 0.0011),NA
"combined",2013 W12,N(0.16, 0.0011),NA
"combined",2013 W13,N(0.075, 0.00098),NA
"combined",2013 W14,N(0.061, 0.00085),NA
"combined",2013 W15,N(0.02, 0.0012),NA
"combined",2013 W16,N(0.029, 0.00098),NA
"combined",2013 W17,N(0.034, 0.0012),NA
"combined",2013 W18,N(0.01, 0.00089),NA
"combined",2013 W19,N(0.012, 0.0011),NA
"combined",2013 W20,N(-0.015, 0.001),NA
"combined",2013 W21,N(-0.019, 0.00097),NA
"combined",2013 W22,N(-0.017, 0.0012),NA
"combined",2013 W23,N(-0.048, 0.00098),0.0162514872719888
"combined",2013 W24,N(-0.042, 0.00095),-0.0585124749707232
"combined",2013 W25,N(-0.029, 0.00086),-0.0304332896035829
"combined",2013 W26,N(-0.009, 0.001),0.0247282945828872
"combined",2013 W27,N(-0.021, 0.00079),NA
"combined",2013 W28,N(-0.061, 0.0011),NA
"combined",2013 W29,N(-0.087, 0.00084),NA
"combined",2013 W30,N(-0.11, 0.00087),NA
"combined",2013 W31,N(-0.16, 0.00093),NA
"combined",2013 W32,N(-0.18, 0.00097),NA
"combined",2013 W33,N(-0.24, 0.00084),NA
"combined",2013 W34,N(-0.22, 0.001),NA
"combined",2013 W35,N(-0.2, 0.00084),NA
"combined",2013 W36,N(-0.15, 0.00093),NA
"combined",2013 W37,N(-0.12, 0.001),NA
"combined",2013 W38,N(-0.09, 0.00086),NA
"combined",2013 W39,N(-0.077, 0.00081),NA
"combined",2013 W40,N(-0.039, 0.00093),NA
"combined",2013 W41,N(-0.039, 0.001),NA
"combined",2013 W42,N(-0.014, 0.00095),NA
"combined",2013 W43,N(0.0087, 0.00086),NA
"combined",2013 W44,N(6e-04, 0.001),NA
"combined",2013 W45,N(0.041, 0.00094),NA
"combined",2013 W46,N(0.08, 0.0011),NA
"combined",2013 W47,N(0.068, 0.001),NA
"combined",2013 W48,N(0.069, 0.00095),NA
"combined",2013 W49,N(0.073, 0.0011),NA
"combined",2013 W50,N(0.094, 0.0012),NA
"combined",2013 W51,N(0.19, 0.00089),NA
"combined",2013 W52,N(0.26, 0.001),NA
"combined",2014 W01,N(0.26, 0.00089),NA
"combined",2014 W02,N(0.16, 0.001),NA
"combined",2014 W03,N(0.22, 0.0011),NA
"combined",2014 W04,N(0.19, 0.00088),NA
"combined",2014 W05,N(0.26, 0.00096),NA
"combined",2014 W06,N(0.25, 0.001),NA
"combined",2014 W07,N(0.2, 0.0012),NA
"combined",2014 W08,N(0.17, 0.0011),NA
"combined",2014 W09,N(0.13, 0.00079),NA
"combined",2014 W10,N(0.15, 0.00095),NA
"combined",2014 W11,N(0.16, 0.001),NA
"combined",2014 W12,N(0.14, 0.00073),NA
"combined",2014 W13,N(0.1, 0.00089),NA
"combined",2014 W14,N(0.049, 0.00088),NA
"combined",2014 W15,N(0.03, 0.0012),NA
"combined",2014 W16,N(0.058, 0.00089),NA
"combined",2014 W17,N(0.019, 0.00093),NA
"combined",2014 W18,N(-0.014, 0.0013),NA
"combined",2014 W19,N(-0.043, 0.0011),NA
"combined",2014 W20,N(-0.048, 0.001),NA
"combined",2014 W21,N(-0.052, 0.001),NA
"combined",2014 W22,N(-0.057, 0.001),NA
"combined",2014 W23,N(-0.04, 0.001),0.0604262045010922
"combined",2014 W24,N(-0.043, 0.0011),-0.0631347745586123
"combined",2014 W25,N(-0.037, 0.001),-0.0174246051943608
"combined",2014 W26,N(-0.029, 0.00091),-0.00936317387584564
"combined",2014 W27,N(-0.04, 0.00072),NA
"combined",2014 W28,N(-0.00074, 0.00088),NA
"combined",2014 W29,N(-0.11, 0.00081),NA
"combined",2014 W30,N(-0.13, 0.00097),NA
"combined",2014 W31,N(-0.14, 0.0013),NA
"combined",2014 W32,N(-0.17, 0.00089),NA
"combined",2014 W33,N(-0.16, 0.0012),NA
"combined",2014 W34,N(-0.16, 0.001),NA
"combined",2014 W35,N(-0.15, 0.001),NA
"combined",2014 W36,N(-0.16, 0.0011),NA
"combined",2014 W37,N(-0.096, 0.00094),NA
"combined",2014 W38,N(-0.059, 0.00097),NA
"combined",2014 W39,N(-0.025, 0.00098),NA
"combined",2014 W40,N(-0.032, 0.00097),NA
"combined",2014 W41,N(-0.035, 0.00088),NA
"combined",2014 W42,N(-0.0028, 0.00094),NA
"combined",2014 W43,N(0.0028, 0.0011),NA
"combined",2014 W44,N(-0.0094, 0.00095),NA
"combined",2014 W45,N(0.019, 0.00091),NA
"combined",2014 W46,N(0.018, 0.00091),NA
"combined",2014 W47,N(0.073, 0.00091),NA
"combined",2014 W48,N(0.062, 0.00089),NA
"combined",2014 W49,N(0.085, 0.00098),NA
"combined",2014 W50,N(0.11, 0.0011),NA
"combined",2014 W51,N(0.21, 0.00094),NA
"combined",2014 W52,N(0.26, 0.00089),NA
"combined",2015 W01,N(0.27, 0.001),NA
"combined",2015 W02,N(0.25, 0.00093),NA
"combined",2015 W03,N(0.23, 0.00085),NA
"combined",2015 W04,N(0.23, 0.00086),NA
"combined",2015 W05,N(0.25, 9e-04),NA
"combined",2015 W06,N(0.24, 0.00091),NA
"combined",2015 W07,N(0.22, 0.00099),NA
"combined",2015 W08,N(0.17, 0.00076),NA
"combined",2015 W09,N(0.16, 0.00093),NA
"combined",2015 W10,N(0.16, 0.00091),NA
"combined",2015 W11,N(0.17, 0.001),NA
"combined",2015 W12,N(0.11, 0.00082),NA
"combined",2015 W13,N(0.12, 0.00089),NA
"combined",2015 W14,N(0.098, 0.00098),NA
"combined",2015 W15,N(0.064, 0.00093),NA
"combined",2015 W16,N(0.055, 0.00077),NA
"combined",2015 W17,N(0.05, 0.0011),NA
"combined",2015 W18,N(0.046, 0.00099),NA
"combined",2015 W19,N(0.04, 0.00087),NA
"combined",2015 W20,N(-0.0052, 0.00089),NA
"combined",2015 W21,N(-0.014, 0.00082),NA
"combined",2015 W22,N(-0.039, 0.0011),NA
"combined",2015 W23,N(-0.071, 0.00082),0.0166286478232673
"combined",2015 W24,N(-0.026, 0.00091),-0.0155332913856001
"combined",2015 W25,N(-0.016, 0.001),-0.00241463269353024
"combined",2015 W26,N(-0.009, 0.0013),-0.0902322039794212
"combined",2015 W27,N(-0.022, 0.0011),NA
"combined",2015 W28,N(-0.048, 0.001),NA
"combined",2015 W29,N(-0.086, 0.00095),NA
"combined",2015 W30,N(-0.095, 0.0011),NA
"combined",2015 W31,N(-0.087, 0.00099),NA
"combined",2015 W32,N(-0.22, 0.00087),NA
"combined",2015 W33,N(-0.23, 0.001),NA
"combined",2015 W34,N(-0.2, 0.0011),NA
"combined",2015 W35,N(-0.21, 0.0011),NA
"combined",2015 W36,N(-0.16, 0.00095),NA
"combined",2015 W37,N(-0.084, 0.00093),NA
"combined",2015 W38,N(-0.077, 0.00088),NA
"combined",2015 W39,N(-0.0085, 9e-04),NA
"combined",2015 W40,N(0.016, 0.00096),NA
"combined",2015 W41,N(0.065, 0.00096),NA
"combined",2015 W42,N(-0.018, 0.00086),NA
"combined",2015 W43,N(-0.0051, 0.00083),NA
"combined",2015 W44,N(-0.0093, 0.00098),NA
"combined",2015 W45,N(0.018, 0.00096),NA
"combined",2015 W46,N(0.054, 0.00086),NA
"combined",2015 W47,N(0.083, 0.00099),NA
"combined",2015 W48,N(0.092, 0.00075),NA
"combined",2015 W49,N(0.12, 0.0011),NA
"combined",2015 W50,N(0.11, 0.00092),NA
"combined",2015 W51,N(0.15, 0.00093),NA
"combined",2015 W52,N(0.2, 0.00088),NA
"combined",2015 W53,N(0.36, 0.00094),NA
"combined",2016 W01,N(0.52, 0.00081),NA
"combined",2016 W02,N(0.17, 0.00092),NA
"combined",2016 W03,N(0.2, 0.001),NA
"combined",2016 W04,N(0.23, 0.00085),NA
"combined",2016 W05,N(0.24, 9e-04),NA
"combined",2016 W06,N(0.21, 0.00091),NA
"combined",2016 W07,N(0.13, 0.00081),NA
"combined",2016 W08,N(0.18, 0.00099),NA
"combined",2016 W09,N(0.14, 0.0011),NA
"combined",2016 W10,N(0.14, 0.00096),NA
"combined",2016 W11,N(0.15, 0.00087),NA
"combined",2016 W12,N(0.12, 0.00088),NA
"combined",2016 W13,N(0.08, 0.00091),NA
"combined",2016 W14,N(0.056, 0.0012),NA
"combined",2016 W15,N(0.071, 0.00092),NA
"combined",2016 W16,N(0.12, 0.001),NA
"combined",2016 W17,N(0.067, 0.00085),NA
"combined",2016 W18,N(0.031, 0.0011),NA
"combined",2016 W19,N(0.00068, 0.00096),NA
"combined",2016 W20,N(-0.01, 0.00087),NA
"combined",2016 W21,N(-0.039, 0.00092),NA
"combined",2016 W22,N(-0.034, 0.00097),0.000284753625063303
"combined",2016 W23,N(-0.027, 0.00092),0.0144549613109747
"combined",2016 W24,N(-0.023, 0.00094),-0.0497899965941456
"combined",2016 W25,N(0.073, 0.00089),-0.08102409011582
"combined",2016 W26,N(0.066, 0.001),NA
"combined",2011 W12,N(-0.069, 0.0012),-0.0812717188806726
"combined",2011 W13,N(-0.056, 0.0013),-0.20016471813201
"combined",2011 W14,N(-0.042, 0.0012),-0.114610401875838
"combined",2011 W15,N(-0.043, 0.0011),0.0717399241473027
"combined",2011 W16,N(-0.019, 0.0012),-0.168044563502767
"combined",2011 W17,N(-0.12, 0.0012),-0.0798758070920083
"combined",2011 W18,N(-0.12, 0.0014),-0.274065077765465
"combined",2011 W19,N(-0.18, 0.0013),-0.0605464314496409
"combined",2011 W20,N(-0.1, 0.0011),-0.117194402747604
"combined",2011 W21,N(-0.086, 0.0012),-0.102846858667485
"combined",2011 W22,N(-0.2, 0.0011),-0.197868172266231
"combined",2011 W23,N(-0.19, 0.0013),-0.139369927244283
"combined",2011 W24,N(-0.15, 0.0014),-0.209479071307388
"combined",2011 W25,N(-0.17, 0.001),-0.0689893738752549
"combined",2011 W26,N(-0.13, 0.0011),-0.0678480423209711
"combined",2011 W27,N(-0.11, 0.0011),-0.0875911517189589
"combined",2011 W28,N(-0.11, 0.0013),-0.100615160459756
"combined",2011 W29,N(-0.12, 0.0011),-0.113639169200553
"combined",2011 W30,N(-0.13, 0.0014),-0.126663177941349
"combined",2011 W31,N(-0.14, 0.0015),-0.139687186682146
"combined",2011 W32,N(-0.064, 0.0011),-0.0906169750358136
"combined",2011 W33,N(-0.014, 0.0015),0.0161392457199707
"combined",2011 W34,N(-0.0099, 0.0014),0.00250775782953926
"combined",2011 W35,N(0.0031, 0.0014),-0.0111237300608921
"combined",2011 W36,N(-0.0019, 0.0012),-0.0789172972260148
"combined",2011 W37,N(0.025, 0.00088),0.157404972883815
"combined",2011 W38,N(0.097, 0.0011),0.14641611918055
"combined",2011 W39,N(0.15, 0.001),0.135427265477285
"combined",2011 W40,N(0.17, 0.0014),-0.00660210081262312
"combined",2011 W41,N(0.2, 0.0011),0.155353946729991
"combined",2011 W42,N(0.16, 0.0013),0.128637327092482
"combined",2011 W43,N(0.14, 0.0011),0.101920707454973
"combined",2011 W44,N(0.049, 0.0014),0.0752040878174633
"combined",2011 W45,N(-0.0081, 0.0012),0.0105232432434605
"combined",2011 W46,N(-0.069, 0.0012),-0.202506158594173
"combined",2011 W47,N(-0.064, 0.0014),-0.189611956496086
"combined",2011 W48,N(-0.092, 0.0012),-0.154133560848273
"combined",2011 W49,N(-0.019, 0.0012),-0.0689662923419004
"combined",2011 W50,N(0.05, 0.0013),0.016200976164472
"combined",2011 W51,N(0.11, 0.0012),0.101368244670844
"combined",2011 W52,N(0.09, 0.0011),0.0715884289471931
"combined",2012 W01,N(0.14, 0.0011),0.171305964615576
"combined",2012 W02,N(0.17, 0.0012),0.137711007171215
"combined",2012 W03,N(0.21, 0.0013),0.328942167970753
"combined",2012 W04,N(0.26, 0.0011),0.190290721061619
"combined",2012 W05,N(0.28, 0.0011),0.291205328615725
"combined",2012 W06,N(0.2, 0.0012),0.334606035365556
"combined",2012 W07,N(0.13, 0.0011),0.145459982826411
"combined",2012 W08,N(0.081, 0.0012),0.0541726042086284
"combined",2012 W09,N(0.072, 0.0011),0.031039327754766
"combined",2012 W10,N(0.03, 0.0013),0.0310594931576348
"combined",2012 W11,N(-0.016, 0.0012),0.000547988685431097
"combined",2012 W12,N(-0.037, 0.0012),-0.0510957504204267
"combined",2012 W13,N(-0.04, 0.0011),0.033462135166749
"combined",2012 W14,N(-0.044, 0.0012),0.0747358764259828
"combined",2012 W15,N(0.071, 0.0014),-0.0283890511833013
"combined",2012 W16,N(0.018, 0.0014),0.0906011545441561
"combined",2012 W17,N(-0.0097, 0.0011),0.10802499721581
"combined",2012 W18,N(-0.042, 0.0012),0.00479745447667149
"combined",2012 W19,N(-0.057, 0.0013),NA
"combined",2012 W20,N(-0.077, 0.0011),NA
"combined",2012 W21,N(-0.093, 0.0012),NA
"combined",2012 W22,N(-0.11, 0.0011),0.00171966139048068
"combined",2012 W23,N(-0.2, 0.0013),-0.0145946606730899
"combined",2012 W24,N(-0.17, 0.0011),0.040360400519243
"combined",2012 W25,N(-0.14, 0.0011),-0.0412190128213593
"combined",2012 W26,N(-0.096, 0.0013),0.0412757207425487
"combined",2012 W27,N(-0.066, 0.0012),NA
"combined",2012 W28,N(-0.061, 0.0012),NA
"combined",2012 W29,N(-0.073, 0.0011),NA
"combined",2012 W30,N(-0.071, 0.0013),NA
"combined",2012 W31,N(-0.069, 0.0013),NA
"combined",2012 W32,N(-0.043, 0.001),NA
"combined",2012 W33,N(-0.023, 0.0014),NA
"combined",2012 W34,N(0.0057, 0.0012),NA
"combined",2012 W35,N(0.017, 0.0012),NA
"combined",2012 W36,N(0.033, 0.0012),NA
"combined",2012 W37,N(0.094, 0.0012),NA
"combined",2012 W38,N(0.15, 0.0012),NA
"combined",2012 W39,N(0.19, 0.0012),NA
"combined",2012 W40,N(0.2, 0.0011),NA
"combined",2012 W41,N(0.2, 0.0011),NA
"combined",2012 W42,N(0.16, 0.00096),NA
"combined",2012 W43,N(0.21, 0.0012),NA
"combined",2012 W44,N(0.15, 0.0012),NA
"combined",2012 W45,N(0.12, 0.0013),NA
"combined",2012 W46,N(0.041, 0.0012),NA
"combined",2012 W47,N(-0.029, 0.0012),NA
"combined",2012 W48,N(-0.055, 0.0012),NA
"combined",2012 W49,N(-0.0097, 0.0014),NA
"combined",2012 W50,N(0.089, 0.0011),NA
"combined",2012 W51,N(0.12, 0.0011),NA
"combined",2012 W52,N(0.1, 0.0013),NA
"combined",2013 W01,N(0.2, 0.0013),NA
"combined",2013 W02,N(0.22, 0.0011),NA
"combined",2013 W03,N(0.3, 0.0013),NA
"combined",2013 W04,N(0.39, 0.0011),NA
"combined",2013 W05,N(0.3, 0.0011),NA
"combined",2013 W06,N(0.3, 0.0012),NA
"combined",2013 W07,N(0.26, 0.0012),NA
"combined",2013 W08,N(0.17, 0.0011),NA
"combined",2013 W09,N(0.15, 0.0015),NA
"combined",2013 W10,N(0.071, 0.0013),NA
"combined",2013 W11,N(0.077, 0.0014),NA
"combined",2013 W12,N(0.038, 0.0013),NA
"combined",2013 W13,N(0.038, 0.0012),NA
"combined",2013 W14,N(0.089, 0.0011),NA
"combined",2013 W15,N(0.037, 0.0015),NA
"combined",2013 W16,N(0.016, 0.0012),NA
"combined",2013 W17,N(0.0061, 0.0015),NA
"combined",2013 W18,N(0.0088, 0.0011),NA
"combined",2013 W19,N(-0.063, 0.0014),NA
"combined",2013 W20,N(-0.022, 0.0013),NA
"combined",2013 W21,N(-0.052, 0.0012),NA
"combined",2013 W22,N(-0.072, 0.0015),NA
"combined",2013 W23,N(-0.073, 0.0012),-0.0747554208619065
"combined",2013 W24,N(-0.096, 0.0012),-0.0840391714052259
"combined",2013 W25,N(-0.11, 0.0011),-0.0701386598828253
"combined",2013 W26,N(-0.056, 0.0013),-0.139753766966286
"combined",2013 W27,N(-0.011, 0.001),NA
"combined",2013 W28,N(-0.038, 0.0013),NA
"combined",2013 W29,N(-0.0029, 0.0011),NA
"combined",2013 W30,N(-0.015, 0.0011),NA
"combined",2013 W31,N(-0.035, 0.0012),NA
"combined",2013 W32,N(-0.0096, 0.0012),NA
"combined",2013 W33,N(0.053, 0.0011),NA
"combined",2013 W34,N(0.063, 0.0013),NA
"combined",2013 W35,N(0.081, 0.0011),NA
"combined",2013 W36,N(0.13, 0.0012),NA
"combined",2013 W37,N(0.16, 0.0013),NA
"combined",2013 W38,N(0.25, 0.0011),NA
"combined",2013 W39,N(0.25, 0.001),NA
"combined",2013 W40,N(0.31, 0.0012),NA
"combined",2013 W41,N(0.3, 0.0013),NA
"combined",2013 W42,N(0.24, 0.0012),NA
"combined",2013 W43,N(0.23, 0.0011),NA
"combined",2013 W44,N(0.21, 0.0013),NA
"combined",2013 W45,N(0.11, 0.0012),NA
"combined",2013 W46,N(0.066, 0.0013),NA
"combined",2013 W47,N(0.018, 0.0013),NA
"combined",2013 W48,N(0.018, 0.0012),NA
"combined",2013 W49,N(0.033, 0.0013),NA
"combined",2013 W50,N(0.072, 0.0015),NA
"combined",2013 W51,N(0.12, 0.0011),NA
"combined",2013 W52,N(0.17, 0.0013),NA
"combined",2014 W01,N(0.2, 0.0011),NA
"combined",2014 W02,N(0.23, 0.0013),NA
"combined",2014 W03,N(0.29, 0.0014),NA
"combined",2014 W04,N(0.31, 0.0011),NA
"combined",2014 W05,N(0.27, 0.0012),NA
"combined",2014 W06,N(0.26, 0.0012),NA
"combined",2014 W07,N(0.19, 0.0015),NA
"combined",2014 W08,N(0.17, 0.0013),NA
"combined",2014 W09,N(0.12, 0.001),NA
"combined",2014 W10,N(0.069, 0.0012),NA
"combined",2014 W11,N(-0.035, 0.0013),NA
"combined",2014 W12,N(-0.046, 0.00094),NA
"combined",2014 W13,N(-0.022, 0.0011),NA
"combined",2014 W14,N(-0.066, 0.0011),NA
"combined",2014 W15,N(-0.02, 0.0014),NA
"combined",2014 W16,N(0.004, 0.0011),NA
