".model","date","value","real.value"
"arima3",2013 W14,N(-0.12, 0.00097),NA
"arima3",2013 W15,N(-0.12, 0.00097),NA
"arima3",2013 W16,N(-0.072, 0.00097),NA
"arima3",2013 W17,N(-0.06, 0.00097),NA
"arima3",2013 W18,N(-0.041, 0.00097),NA
"arima3",2013 W19,N(-0.035, 0.00097),NA
"arima3",2013 W20,N(-0.0079, 0.00097),NA
"arima3",2013 W21,N(0.0099, 0.00097),NA
"arima3",2013 W22,N(0.053, 0.00097),NA
"arima3",2013 W23,N(0.074, 0.00097),-0.0306434673844784
"arima3",2013 W24,N(0.11, 0.00097),0.0352881700072394
"arima3",2013 W25,N(0.12, 0.00097),0.00195918205673747
"arima3",2013 W26,N(0.12, 0.00097),-0.0194295005388328
"arima3",2013 W27,N(0.14, 0.00097),NA
"arima3",2013 W28,N(0.17, 0.00097),NA
"arima3",2013 W29,N(0.17, 0.00097),NA
"arima3",2013 W30,N(0.13, 0.00097),NA
"arima3",2013 W31,N(0.17, 0.00097),NA
"arima3",2013 W32,N(0.16, 0.00097),NA
"arima3",2013 W33,N(0.17, 0.00097),NA
"arima3",2013 W34,N(0.16, 0.00097),NA
"arima3",2013 W35,N(0.15, 0.00097),NA
"arima3",2013 W36,N(0.14, 0.00097),NA
"arima3",2013 W37,N(0.12, 0.00097),NA
"arima3",2013 W38,N(0.11, 0.00097),NA
"arima3",2013 W39,N(0.14, 0.00097),NA
"arima3",2013 W40,N(0.12, 0.00097),NA
"arima3",2013 W41,N(0.13, 0.00097),NA
"arima3",2013 W42,N(0.13, 0.00097),NA
"arima3",2013 W43,N(0.12, 0.00097),NA
"arima3",2013 W44,N(0.14, 0.00097),NA
"arima3",2013 W45,N(0.15, 0.00097),NA
"arima3",2013 W46,N(0.15, 0.00097),NA
"arima3",2013 W47,N(0.16, 0.00097),NA
"arima3",2013 W48,N(0.18, 0.00097),NA
"arima3",2013 W49,N(0.16, 0.00097),NA
"arima3",2013 W50,N(0.14, 0.00097),NA
"arima3",2013 W51,N(0.097, 0.00097),NA
"arima3",2013 W52,N(0.041, 0.00097),NA
"arima3",2014 W01,N(0.014, 0.00097),NA
"arima3",2014 W02,N(-0.029, 0.00097),NA
"arima3",2014 W03,N(-0.068, 0.00097),NA
"arima3",2014 W04,N(-0.11, 0.00097),NA
"arima3",2014 W05,N(-0.14, 0.00097),NA
"arima3",2014 W06,N(-0.16, 0.00097),NA
"arima3",2014 W07,N(-0.18, 0.00097),NA
"arima3",2014 W08,N(-0.22, 0.00097),NA
"arima3",2014 W09,N(-0.22, 0.00097),NA
"arima3",2014 W10,N(-0.22, 0.00097),NA
"arima3",2014 W11,N(-0.18, 0.00097),NA
"arima3",2014 W12,N(-0.17, 0.00097),NA
"arima3",2014 W13,N(-0.16, 0.00097),NA
"arima3",2014 W14,N(-0.14, 0.00097),NA
"arima3",2014 W15,N(-0.1, 0.00097),NA
"arima3",2014 W16,N(-0.091, 0.00097),NA
"arima3",2014 W17,N(-0.072, 0.00097),NA
"arima3",2014 W18,N(-0.05, 0.00097),NA
"arima3",2014 W19,N(-0.013, 0.00097),NA
"arima3",2014 W20,N(0.016, 0.00097),NA
"arima3",2014 W21,N(0.027, 0.00097),NA
"arima3",2014 W22,N(0.07, 0.00097),NA
"arima3",2014 W23,N(0.037, 0.00097),0.0786461003387584
"arima3",2014 W24,N(0.088, 0.00097),0.0588082621689961
"arima3",2014 W25,N(0.1, 0.00097),0.00434488167469646
"arima3",2014 W26,N(0.11, 0.00097),0.13541517649294
"arima3",2014 W27,N(0.13, 0.00097),NA
"arima3",2014 W28,N(0.14, 0.00097),NA
"arima3",2014 W29,N(0.13, 0.00097),NA
"arima3",2014 W30,N(0.16, 0.00097),NA
"arima3",2014 W31,N(0.14, 0.00097),NA
"arima3",2014 W32,N(0.15, 0.00097),NA
"arima3",2014 W33,N(0.12, 0.00097),NA
"arima3",2014 W34,N(0.15, 0.00097),NA
"arima3",2014 W35,N(0.13, 0.00097),NA
"arima3",2014 W36,N(0.13, 0.00097),NA
"arima3",2014 W37,N(0.14, 0.00097),NA
"arima3",2014 W38,N(0.14, 0.00097),NA
"arima3",2014 W39,N(0.13, 0.00097),NA
"arima3",2014 W40,N(0.13, 0.00097),NA
"arima3",2014 W41,N(0.1, 0.00097),NA
"arima3",2014 W42,N(0.12, 0.00097),NA
"arima3",2014 W43,N(0.14, 0.00097),NA
"arima3",2014 W44,N(0.18, 0.00097),NA
"arima3",2014 W45,N(0.13, 0.00097),NA
"arima3",2014 W46,N(0.17, 0.00097),NA
"arima3",2014 W47,N(0.18, 0.00097),NA
"arima3",2014 W48,N(0.17, 0.00097),NA
"arima3",2014 W49,N(0.15, 0.00097),NA
"arima3",2014 W50,N(0.11, 0.00097),NA
"arima3",2014 W51,N(0.069, 0.00097),NA
"arima3",2014 W52,N(0.044, 0.00097),NA
"arima3",2015 W01,N(0.0095, 0.00097),NA
"arima3",2015 W02,N(-0.039, 0.00097),NA
"arima3",2015 W03,N(-0.086, 0.00097),NA
"arima3",2015 W04,N(-0.1, 0.00097),NA
"arima3",2015 W05,N(-0.13, 0.00097),NA
"arima3",2015 W06,N(-0.15, 0.00097),NA
"arima3",2015 W07,N(-0.17, 0.00097),NA
"arima3",2015 W08,N(-0.19, 0.00097),NA
"arima3",2015 W09,N(-0.2, 0.00097),NA
"arima3",2015 W10,N(-0.2, 0.00097),NA
"arima3",2015 W11,N(-0.18, 0.00097),NA
"arima3",2015 W12,N(-0.16, 0.00097),NA
"arima3",2015 W13,N(-0.094, 0.00097),NA
"arima3",2015 W14,N(-0.16, 0.00097),NA
"arima3",2015 W15,N(-0.11, 0.00097),NA
"arima3",2015 W16,N(-0.077, 0.00097),NA
"arima3",2015 W17,N(-0.08, 0.00097),NA
"arima3",2015 W18,N(-0.052, 0.00097),NA
"arima3",2015 W19,N(-0.019, 0.00097),NA
"arima3",2015 W20,N(0.0044, 0.00097),NA
"arima3",2015 W21,N(0.027, 0.00097),NA
"arima3",2015 W22,N(0.053, 0.00097),NA
"arima3",2015 W23,N(0.062, 0.00097),-0.00425152172196608
"arima3",2015 W24,N(0.1, 0.00097),0.0187646630794243
"arima3",2015 W25,N(0.12, 0.00097),0.0298860330018136
"arima3",2015 W26,N(0.16, 0.00097),0.0775949734211855
"arima3",2015 W27,N(0.14, 0.00097),NA
"arima3",2015 W28,N(0.16, 0.00097),NA
"arima3",2015 W29,N(0.17, 0.00097),NA
"arima3",2015 W30,N(0.17, 0.00097),NA
"arima3",2015 W31,N(0.19, 0.00097),NA
"arima3",2015 W32,N(0.16, 0.00097),NA
"arima3",2015 W33,N(0.15, 0.00097),NA
"arima3",2015 W34,N(0.16, 0.00097),NA
"arima3",2015 W35,N(0.15, 0.00097),NA
"arima3",2015 W36,N(0.13, 0.00097),NA
"arima3",2015 W37,N(0.15, 0.00097),NA
"arima3",2015 W38,N(0.12, 0.00097),NA
"arima3",2015 W39,N(0.14, 0.00097),NA
"arima3",2015 W40,N(0.16, 0.00097),NA
"arima3",2015 W41,N(0.11, 0.00097),NA
"arima3",2015 W42,N(0.16, 0.00097),NA
"arima3",2015 W43,N(0.18, 0.00097),NA
"arima3",2015 W44,N(0.19, 0.00097),NA
"arima3",2015 W45,N(0.18, 0.00097),NA
"arima3",2015 W46,N(0.2, 0.00097),NA
"arima3",2015 W47,N(0.17, 0.00097),NA
"arima3",2015 W48,N(0.17, 0.00097),NA
"arima3",2015 W49,N(0.15, 0.00097),NA
"arima3",2015 W50,N(0.13, 0.00097),NA
"arima3",2015 W51,N(0.065, 0.00097),NA
"arima3",2015 W52,N(0.058, 0.00097),NA
"arima3",2015 W53,N(0.12, 0.00097),NA
"arima3",2016 W01,N(0.16, 0.00097),NA
"arima3",2016 W02,N(-0.069, 0.00097),NA
"arima3",2016 W03,N(-0.099, 0.00097),NA
"arima3",2016 W04,N(-0.13, 0.00097),NA
"arima3",2016 W05,N(-0.18, 0.00097),NA
"arima3",2016 W06,N(-0.19, 0.00097),NA
"arima3",2016 W07,N(-0.21, 0.00097),NA
"arima3",2016 W08,N(-0.15, 0.00097),NA
"arima3",2016 W09,N(-0.21, 0.00097),NA
"arima3",2016 W10,N(-0.2, 0.00097),NA
"arima3",2016 W11,N(-0.18, 0.00097),NA
"arima3",2016 W12,N(-0.16, 0.00097),NA
"arima3",2016 W13,N(-0.17, 0.00097),NA
"arima3",2016 W14,N(-0.13, 0.00097),NA
"arima3",2016 W15,N(-0.087, 0.00097),NA
"arima3",2016 W16,N(-0.085, 0.00097),NA
"arima3",2016 W17,N(-0.051, 0.00097),NA
"arima3",2016 W18,N(-0.0036, 0.00097),NA
"arima3",2016 W19,N(-0.0021, 0.00097),NA
"arima3",2016 W20,N(0.028, 0.00097),NA
"arima3",2016 W21,N(0.062, 0.00097),NA
"arima3",2016 W22,N(0.034, 0.00097),0.0274202240348372
"arima3",2016 W23,N(0.071, 0.00097),0.0149244849463107
"arima3",2016 W24,N(0.082, 0.00097),0.0156860840079215
"arima3",2016 W25,N(0.09, 0.00097),0.0359937531056889
"arima3",2016 W26,N(0.13, 0.00097),NA
"arima3",2011 W12,N(-0.039, 0.0026),-0.0714067856631906
"arima3",2011 W13,N(-0.0046, 0.0026),-0.069643242688723
"arima3",2011 W14,N(-0.012, 0.0026),-0.00509092887355137
"arima3",2011 W15,N(0.0084, 0.0026),-0.105714030324202
"arima3",2011 W16,N(-0.056, 0.0026),-0.044465793512912
"arima3",2011 W17,N(0.045, 0.0026),-0.0169187501344933
"arima3",2011 W18,N(0.083, 0.0026),-0.0687988204313624
"arima3",2011 W19,N(0.074, 0.0026),0.0712908943677893
"arima3",2011 W20,N(0.068, 0.0026),0.0872711955361808
"arima3",2011 W21,N(0.072, 0.0026),0.20054070391941
"arima3",2011 W22,N(0.26, 0.0026),0.298656513266277
"arima3",2011 W23,N(0.18, 0.0026),0.228737951274139
"arima3",2011 W24,N(0.17, 0.0026),0.220320498477531
"arima3",2011 W25,N(0.19, 0.0026),0.322918298524447
"arima3",2011 W26,N(0.2, 0.0026),0.130129175353067
"arima3",2011 W27,N(0.2, 0.0026),0.291271348653179
"arima3",2011 W28,N(0.18, 0.0026),0.251065289044477
"arima3",2011 W29,N(0.15, 0.0026),0.210859229435774
"arima3",2011 W30,N(0.13, 0.0026),0.170653169827071
"arima3",2011 W31,N(0.082, 0.0026),0.130447110218369
"arima3",2011 W32,N(0.082, 0.0026),0.154580141297756
"arima3",2011 W33,N(0.066, 0.0026),0.11386894765662
"arima3",2011 W34,N(0.088, 0.0026),0.122460707826187
"arima3",2011 W35,N(0.13, 0.0026),0.131052467995754
"arima3",2011 W36,N(0.094, 0.0026),0.0960624878377102
"arima3",2011 W37,N(0.071, 0.0026),0.143212065407994
"arima3",2011 W38,N(0.046, 0.0026),0.138925751389811
"arima3",2011 W39,N(0.046, 0.0026),0.134639437371628
"arima3",2011 W40,N(0.025, 0.0026),0.0376647797162176
"arima3",2011 W41,N(-0.0097, 0.0026),0.114145099405921
"arima3",2011 W42,N(0.0064, 0.0026),0.0574076172985552
"arima3",2011 W43,N(0.035, 0.0026),0.000670135191189775
"arima3",2011 W44,N(0.064, 0.0026),-0.0560673469161757
"arima3",2011 W45,N(0.017, 0.0026),-0.0470318372553794
"arima3",2011 W46,N(-0.02, 0.0026),-0.000670323058993274
"arima3",2011 W47,N(-0.077, 0.0026),-0.0934704464143688
"arima3",2011 W48,N(-0.0088, 0.0026),-0.100732329010351
"arima3",2011 W49,N(-0.13, 0.0026),-0.177913219771358
"arima3",2011 W50,N(-0.16, 0.0026),-0.255094110532365
"arima3",2011 W51,N(-0.15, 0.0026),-0.332275001293372
"arima3",2011 W52,N(-0.095, 0.0026),-0.122358260970415
"arima3",2012 W01,N(-0.2, 0.0026),-0.184702601369104
