"block_omic","2012","2013","2014","2015","2016"
"Family MG",0.959214511943907,0.907083186102493,0.883045395316452,0.462135602786232,0.380718933551303
"Family MT",0.929503333735484,0.890599955172275,0.911605582273095,0.885666756445072,0.669644639630899
"Pathway MG",0.959161036244091,0.913148145684135,0.87085232955746,0.405142895828548,0.420851718926899
"Pathway MT",0.939075122371021,0.90235038634282,0.92855257697827,0.901956598922681,0.764646821177605
"Reaction MG",0.956701577010162,0.902817436775143,0.876056288847232,0.452848636317517,0.381709805865094
"Reaction MT",0.933955316193612,0.895134961891712,0.915551064340117,0.895632252667264,0.704135171827883
